
TimeCST	TemperatureF	Dew PointF	Humidity	Sea Level PressureIn	VisibilityMPH	Wind Direction	Wind SpeedMPH	Gust SpeedMPH	PrecipitationIn	Events	Conditions	WindDirDegrees	DateUTC<br />
12:15 AM	14.7	5.0	65	30.36	10.0	SE	8.1	-	N/A		Overcast	130	2014-01-09 06:15:00<br />
12:35 AM	14.0	4.6	66	30.35	10.0	SE	9.2	-	N/A		Overcast	140	2014-01-09 06:35:00<br />
12:55 AM	14.0	4.5	66	30.35	10.0	SE	4.6	-	N/A		Overcast	140	2014-01-09 06:55:00<br />
1:15 AM	14.0	4.8	67	30.34	10.0	ESE	4.6	-	N/A		Overcast	110	2014-01-09 07:15:00<br />
1:35 AM	14.0	4.3	65	30.33	10.0	ESE	5.8	-	N/A		Overcast	110	2014-01-09 07:35:00<br />
1:55 AM	13.1	4.1	67	30.33	10.0	ESE	3.5	-	N/A		Overcast	120	2014-01-09 07:55:00<br />
2:15 AM	12.0	3.7	69	30.33	10.0	SE	3.5	-	N/A		Scattered Clouds	130	2014-01-09 08:15:00<br />
2:35 AM	12.2	3.7	69	30.33	10.0	ESE	4.6	-	N/A		Mostly Cloudy	120	2014-01-09 08:35:00<br />
2:55 AM	11.8	3.6	69	30.33	10.0	ESE	5.8	-	N/A		Overcast	120	2014-01-09 08:55:00<br />
3:15 AM	11.8	3.7	70	30.32	10.0	SE	4.6	-	N/A		Overcast	130	2014-01-09 09:15:00<br />
3:35 AM	10.9	3.2	71	30.31	10.0	SE	3.5	-	N/A		Scattered Clouds	130	2014-01-09 09:35:00<br />
3:55 AM	10.2	3.2	73	30.31	10.0	SE	5.8	-	N/A		Clear	140	2014-01-09 09:55:00<br />
4:15 AM	9.7	3.2	75	30.30	10.0	SE	4.6	-	N/A		Clear	140	2014-01-09 10:15:00<br />
4:35 AM	9.0	2.7	76	30.30	10.0	SE	5.8	-	N/A		Clear	140	2014-01-09 10:35:00<br />
4:55 AM	9.0	2.3	74	30.30	10.0	SE	4.6	-	N/A		Clear	140	2014-01-09 10:55:00<br />
5:15 AM	9.1	2.7	75	30.29	10.0	SE	4.6	-	N/A		Clear	140	2014-01-09 11:15:00<br />
5:35 AM	8.2	2.1	76	30.28	10.0	SE	4.6	-	N/A		Clear	140	2014-01-09 11:35:00<br />
5:55 AM	8.2	2.3	77	30.28	10.0	SE	5.8	-	N/A		Clear	140	2014-01-09 11:55:00<br />
6:15 AM	8.2	2.3	77	30.27	10.0	SE	4.6	-	N/A		Clear	130	2014-01-09 12:15:00<br />
6:35 AM	7.7	2.1	78	30.26	10.0	SE	4.6	-	N/A		Clear	130	2014-01-09 12:35:00<br />
6:55 AM	7.7	2.3	79	30.25	10.0	SE	3.5	-	N/A		Clear	140	2014-01-09 12:55:00<br />
7:15 AM	7.9	2.5	79	30.24	10.0	SE	4.6	-	N/A		Clear	140	2014-01-09 13:15:00<br />
7:35 AM	7.5	2.3	79	30.24	10.0	SE	4.6	-	N/A		Clear	140	2014-01-09 13:35:00<br />
7:55 AM	8.4	3.2	79	30.23	10.0	SE	3.5	-	N/A		Clear	130	2014-01-09 13:55:00<br />
8:15 AM	9.1	3.9	79	30.22	10.0	Calm	Calm	-	N/A		Clear	0	2014-01-09 14:15:00<br />
8:35 AM	10.9	5.2	78	30.22	10.0	SE	4.6	-	N/A		Scattered Clouds	130	2014-01-09 14:35:00<br />
8:55 AM	13.3	7.3	77	30.22	10.0	SE	10.4	-	N/A		Scattered Clouds	140	2014-01-09 14:55:00<br />
9:15 AM	14.2	7.3	74	30.22	10.0	SE	11.5	-	N/A		Clear	140	2014-01-09 15:15:00<br />
9:35 AM	14.7	7.3	73	30.21	10.0	SE	9.2	-	N/A		Clear	140	2014-01-09 15:35:00<br />
9:55 AM	15.1	7.5	72	30.21	10.0	SSE	11.5	-	N/A		Clear	150	2014-01-09 15:55:00<br />
10:15 AM	16.0	8.1	71	30.21	10.0	SE	8.1	-	N/A		Clear	140	2014-01-09 16:15:00<br />
10:35 AM	16.9	8.2	69	30.21	10.0	SSE	8.1	-	N/A		Clear	150	2014-01-09 16:35:00<br />
10:55 AM	18.0	9.0	68	30.20	10.0	SE	9.2	-	N/A		Clear	140	2014-01-09 16:55:00<br />
11:15 AM	19.8	9.9	65	30.19	10.0	SSE	9.2	-	N/A		Clear	150	2014-01-09 17:15:00<br />
11:35 AM	20.8	10.4	64	30.17	10.0	South	6.9	-	N/A		Clear	180	2014-01-09 17:35:00<br />
11:55 AM	21.2	10.8	64	30.15	10.0	South	9.2	-	N/A		Clear	180	2014-01-09 17:55:00<br />
12:15 PM	21.9	11.3	64	30.14	10.0	SE	8.1	-	N/A		Clear	140	2014-01-09 18:15:00<br />
12:35 PM	22.6	11.5	62	30.13	10.0	South	8.1	-	N/A		Clear	180	2014-01-09 18:35:00<br />
12:55 PM	21.9	11.3	64	30.11	10.0	SSE	6.9	-	N/A		Clear	150	2014-01-09 18:55:00<br />
1:15 PM	22.1	12.0	65	30.10	10.0	North	-9999.0	-	N/A		Mostly Cloudy	0	2014-01-09 19:15:00<br />
1:35 PM	23.5	13.3	65	30.09	10.0	North	-9999.0	-	N/A		Overcast	0	2014-01-09 19:35:00<br />
1:55 PM	24.1	14.2	66	30.08	10.0	North	-9999.0	-	N/A		Overcast	0	2014-01-09 19:55:00<br />
2:35 PM	24.6	15.3	68	30.06	10.0	SE	5.8	-	0.03		Overcast	140	2014-01-09 20:35:00<br />
2:55 PM	25.2	15.6	67	30.06	10.0	SE	6.9	-	0.03		Overcast	140	2014-01-09 20:55:00<br />
