
TimeCST	TemperatureF	Dew PointF	Humidity	Sea Level PressureIn	VisibilityMPH	Wind Direction	Wind SpeedMPH	Gust SpeedMPH	PrecipitationIn	Events	Conditions	WindDirDegrees	DateUTC<br />
12:15 AM	5.5	-2.2	70	30.39	10.0	NW	6.9	-	N/A	Snow	Light Snow	320	2014-01-02 06:15:00<br />
12:35 AM	5.7	-2.0	70	30.38	10.0	NW	8.1	-	N/A	Snow	Light Snow	320	2014-01-02 06:35:00<br />
12:55 AM	5.7	-1.8	71	30.37	10.0	NW	5.8	-	N/A	Snow	Light Snow	320	2014-01-02 06:55:00<br />
1:15 AM	5.0	-1.8	73	30.38	10.0	NW	5.8	-	N/A		Clear	320	2014-01-02 07:15:00<br />
1:35 AM	5.0	-1.8	73	30.37	10.0	NW	4.6	-	N/A		Clear	320	2014-01-02 07:35:00<br />
1:55 AM	3.9	-2.4	75	30.38	10.0	NW	5.8	-	N/A		Clear	310	2014-01-02 07:55:00<br />
2:15 AM	3.6	-2.4	76	30.38	10.0	NW	6.9	-	N/A		Clear	310	2014-01-02 08:15:00<br />
2:35 AM	3.6	-2.4	76	30.38	10.0	NW	6.9	-	N/A		Clear	320	2014-01-02 08:35:00<br />
2:55 AM	2.8	-3.5	75	30.38	10.0	NW	5.8	-	N/A		Clear	310	2014-01-02 08:55:00<br />
3:15 AM	1.9	-4.0	76	30.38	10.0	WNW	5.8	-	N/A		Clear	300	2014-01-02 09:15:00<br />
3:35 AM	1.4	-4.2	77	30.38	10.0	NW	6.9	-	N/A		Clear	310	2014-01-02 09:35:00<br />
3:55 AM	1.4	-4.2	77	30.38	10.0	NW	5.8	-	N/A		Scattered Clouds	320	2014-01-02 09:55:00<br />
4:15 AM	1.8	-4.0	77	30.38	10.0	NW	6.9	-	N/A		Scattered Clouds	310	2014-01-02 10:15:00<br />
4:35 AM	1.4	-4.0	78	30.37	10.0	Calm	Calm	-	N/A		Scattered Clouds	0	2014-01-02 10:35:00<br />
4:55 AM	0.3	-5.1	78	30.38	10.0	WNW	5.8	-	N/A		Scattered Clouds	300	2014-01-02 10:55:00<br />
5:15 AM	0.5	-4.9	78	30.37	10.0	WNW	4.6	-	N/A		Scattered Clouds	300	2014-01-02 11:15:00<br />
5:35 AM	0.5	-4.9	78	30.39	10.0	WNW	8.1	-	N/A		Scattered Clouds	300	2014-01-02 11:35:00<br />
5:55 AM	0.5	-5.1	77	30.41	10.0	WNW	6.9	-	N/A		Clear	300	2014-01-02 11:55:00<br />
6:15 AM	0.5	-5.1	77	30.41	10.0	WNW	4.6	-	N/A		Clear	300	2014-01-02 12:15:00<br />
6:35 AM	1.0	-4.9	76	30.42	10.0	NW	5.8	-	N/A		Clear	310	2014-01-02 12:35:00<br />
6:55 AM	1.4	-4.5	76	30.41	10.0	WNW	4.6	-	N/A		Scattered Clouds	300	2014-01-02 12:55:00<br />
7:15 AM	1.8	-4.4	76	30.41	10.0	Calm	Calm	-	N/A		Mostly Cloudy	0	2014-01-02 13:15:00<br />
