
TimeCST	TemperatureF	Dew PointF	Humidity	Sea Level PressureIn	VisibilityMPH	Wind Direction	Wind SpeedMPH	Gust SpeedMPH	PrecipitationIn	Events	Conditions	WindDirDegrees	DateUTC<br />
12:15 AM	-1.3	-9.8	67	30.64	10.0	WNW	5.8	-	N/A		Clear	300	2014-02-06 06:15:00<br />
12:35 AM	-1.5	-10.3	66	30.64	10.0	NW	6.9	-	N/A		Clear	310	2014-02-06 06:35:00<br />
12:55 AM	-1.3	-10.3	66	30.63	10.0	WNW	6.9	-	N/A		Clear	300	2014-02-06 06:55:00<br />
1:15 AM	-2.2	-10.5	68	30.63	10.0	NW	8.1	-	N/A		Clear	310	2014-02-06 07:15:00<br />
1:35 AM	-3.5	-11.2	69	30.62	10.0	NW	5.8	-	N/A		Clear	310	2014-02-06 07:35:00<br />
1:55 AM	-3.6	-11.2	70	30.62	10.0	WNW	4.6	-	N/A		Clear	300	2014-02-06 07:55:00<br />
2:15 AM	-3.5	-11.2	69	30.61	10.0	WNW	4.6	-	N/A		Clear	300	2014-02-06 08:15:00<br />
2:35 AM	-3.5	-11.0	70	30.61	10.0	NW	6.9	-	N/A		Clear	310	2014-02-06 08:35:00<br />
2:55 AM	-3.5	-11.2	69	30.61	10.0	NW	6.9	-	N/A		Clear	310	2014-02-06 08:55:00<br />
3:15 AM	-4.2	-11.7	70	30.60	10.0	NW	8.1	-	N/A		Clear	310	2014-02-06 09:15:00<br />
3:35 AM	-4.0	-11.9	69	30.60	10.0	NW	8.1	-	N/A		Clear	310	2014-02-06 09:35:00<br />
3:55 AM	-4.0	-12.1	68	30.60	10.0	WNW	6.9	-	N/A		Clear	300	2014-02-06 09:55:00<br />
4:15 AM	-4.5	-12.5	69	30.60	10.0	WNW	5.8	-	N/A		Clear	300	2014-02-06 10:15:00<br />
4:35 AM	-5.4	-13.0	70	30.60	10.0	West	5.8	-	N/A		Clear	280	2014-02-06 10:35:00<br />
4:55 AM	-6.0	-13.5	70	30.60	10.0	WNW	8.1	-	N/A		Clear	290	2014-02-06 10:55:00<br />
5:15 AM	-6.5	-13.7	71	30.60	10.0	WNW	3.5	-	N/A		Clear	300	2014-02-06 11:15:00<br />
5:35 AM	-5.1	-12.5	70	30.60	10.0	NW	3.5	-	N/A		Clear	320	2014-02-06 11:35:00<br />
5:55 AM	-6.0	-13.2	71	30.60	10.0	WNW	3.5	-	N/A		Clear	290	2014-02-06 11:55:00<br />
6:15 AM	-5.4	-13.4	69	30.60	10.0	NW	4.6	-	N/A		Clear	310	2014-02-06 12:15:00<br />
6:35 AM	-4.9	-13.0	68	30.61	10.0	Calm	Calm	-	N/A		Clear	0	2014-02-06 12:35:00<br />
6:55 AM	-4.9	-13.0	68	30.61	10.0	Calm	Calm	-	N/A		Clear	0	2014-02-06 12:55:00<br />
7:15 AM	-5.3	-13.4	68	30.61	10.0	West	5.8	-	N/A		Clear	280	2014-02-06 13:15:00<br />
7:35 AM	-6.5	-13.9	70	30.61	10.0	West	4.6	-	N/A		Clear	260	2014-02-06 13:35:00<br />
7:55 AM	-7.1	-14.1	72	30.61	10.0	WSW	3.5	-	N/A		Clear	240	2014-02-06 13:55:00<br />
8:15 AM	-7.2	-14.8	70	30.62	10.0	West	3.5	-	N/A		Clear	270	2014-02-06 14:15:00<br />
8:35 AM	-6.5	-14.6	68	30.62	10.0	West	4.6	-	N/A		Clear	280	2014-02-06 14:35:00<br />
8:55 AM	-4.7	-13.7	65	30.61	10.0	WNW	5.8	-	N/A		Clear	300	2014-02-06 14:55:00<br />
9:15 AM	-3.8	-13.2	64	30.61	10.0	WNW	5.8	-	N/A		Clear	300	2014-02-06 15:15:00<br />
9:35 AM	-2.9	-12.6	63	30.61	10.0	WNW	6.9	-	N/A		Clear	300	2014-02-06 15:35:00<br />
9:55 AM	-1.5	-11.7	62	30.60	10.0	WNW	5.8	-	N/A		Clear	300	2014-02-06 15:55:00<br />
